"","ID","clust","nh","region","district","ez","loc2","loc5","loc3","region_Western","region_Central","region_Greater_Accra","region_Volta","region_Eastern","region_Ashanti","region_Brong_Ahafo","region_Northern","region_Upper_East","region_Upper_West","ez_Costal","ez_Forest","ez_Savannah","loc2_Rural","loc2_Urban","farmer","fishing","own_business","farm_size","profit","profit_per_acre","profit_usd","profit_per_acre_usd","profit_log","profit_per_acre_log","pid","spouse_live_hh","sex_male","agey","educ_none","educ_bece","educ_voc","educ_O_level","educ_sss","educ_a_level","educ_t_cert","educ_nurse","educ_tech","educ_bach","educ_master","educ_phd","educ_other","educ_advanced","do_math","light_eletricity","light_generator","light_others","cooking_full_gas","cooking_full_eletricity","cooking_other","toilet_flush","toilet_latrine","toilet_others","wall_mud","wall_wood","wall_iron","wall_stone","wall_cement","wall_other","harvest_sold_pre","harvest_sold_gate","harvest_sold_market","harvest_sold_consumer","harvest_sold_state_org","harvest_sold_coop","paid_at_sale","paid_at_week","paid_at_month","paid_at_over_m","males_on_farme","females_on_farme","workers_on_farm","most_impor_farming","most_impor_fishing","moto_road","moto_road_impassable","have_bar","have_post_of_pub_telephone","have_bank","have_daily_mkt","have_week_mkt","public_transp","people_come_for_job_farming","have_hospital","have_agric_ext_center","have_cooperative","any_farm_use_fert","any_farm_use_inset_herb","any_farm_use_irrigate","mutual_aid_farm","fitted","residuals","stand_res"
"1","4005_1",4005,1,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,3.3,2092506.66666667,634092.929292929,589.438497652582,178.617726561389,15.4316760822543,14.2377536137819,1,TRUE,TRUE,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14.1401564950193,0.0975971187625307,0.186280023527581
"2","4005_4",4005,4,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,FALSE,TRUE,2,3274526.66666667,1637263.33333333,922.401877934272,461.200938967136,15.6426004048064,14.9494532242464,1,TRUE,TRUE,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14.3679926151392,0.581460609107256,1.11058146325978
"3","4005_6",4005,6,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,1,1178950,1178950,332.098591549296,332.098591549296,15.2314110014436,15.2314110014436,1,TRUE,TRUE,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14.5027998352611,0.728611166182539,1.39240487247702
"4","4005_7",4005,7,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,8.3,917583.809523809,110552.266207688,258.474312541918,31.1414834387853,15.1658742260104,13.0496187112079,1,FALSE,FALSE,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13.6966926053199,-0.647073894112057,-1.23569012533902
"5","4005_9",4005,9,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,FALSE,TRUE,3,483753.333333333,161251.111111111,136.268544600939,45.422848200313,15.0466114842839,13.9479991956158,1,TRUE,TRUE,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14.2315465349737,-0.283547339357899,-0.541325933416984
"6","4005_11",4005,11,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,15.5,10304467,664804.322580645,2902.66676056338,187.268823262154,16.3991844201798,13.6583443962546,1,TRUE,TRUE,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12.8975445230122,0.760799873242384,1.45274812484243
"7","4005_12",4005,12,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,FALSE,TRUE,8,31091.4285714286,3886.42857142857,8.75814889336016,1.09476861167002,14.9048588100704,12.8254172683905,1,TRUE,TRUE,63,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13.6293819110246,-0.803964642634062,-1.53479293432709
"8","4005_14",4005,14,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,8,1636241.27484384,204530.15935548,460.913035167279,57.6141293959098,15.3366605131525,13.2572189714727,1,TRUE,TRUE,40,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,34,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13.6806172075888,-0.423398236116142,-0.808479523993629
"9","4005_15",4005,15,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,TRUE,TRUE,3.5,683626.666666667,195321.904761905,192.570892018779,55.0202548625084,15.1033293878099,13.8505664193145,1,TRUE,TRUE,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14.1103538348425,-0.259787415527967,-0.495874800988709
"10","4005_16",4005,16,"Western",2,"Costal","Rural","Rural_Coastal","Rural",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,FALSE,FALSE,5,1892972.74720418,378594.549440837,533.231759775827,106.646351955165,15.3912298425211,13.781791930087,1,FALSE,TRUE,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13.92889192914,-0.147099999053009,-0.281105705538146
